name,rating,review,colour,date,title,lang,review_en
Desh Raj,5.0 out of 5 stars,Nice one,BlueConfiguration: Echo Dot Only,30 September 2025,Good device by Amazon,en,Nice one
Devyansh Agarwal,5.0 out of 5 stars,Best use technology,BlackConfiguration: Echo Dot Only,30 September 2025,Best product,en,Best use technology
Rashmi,5.0 out of 5 stars,Very nice,BlueConfiguration: Echo Dot Only,28 September 2025,Very nice,cs,Very nice
Ritika verma,5.0 out of 5 stars,Excellent,BlackConfiguration: Echo Dot Only,27 September 2025,Excellent,ca,Excellent
Rushabh,4.0 out of 5 stars,Good,BlackConfiguration: Echo Dot Only,9 July 2025,Nice,so,Good
Inderpreet Singh Makkar,5.0 out of 5 stars,Amazing,BlueConfiguration: Echo Dot Only,26 September 2025,Best,sw,Amazing
Amazon Customer,5.0 out of 5 stars,"Clarity, good product",BlackConfiguration: Echo Dot Only,23 September 2025,Good one,en,"Clarity, good product"
RECHARGE FITNESS,2.0 out of 5 stars,"This sound quality of Alexa is very poor — even our mobile phones sound better. I didn’t expect this kind of performance. Earlier, I used the 4th Gen Alexa, and that was far better. I’m not sure whether this is the default sound quality or if I received a defective product, but I’m completely disappointed.",BlueConfiguration: Echo Dot Only,20 October 2025,Very Poor Sound Quality,en,"This sound quality of Alexa is very poor — even our mobile phones sound better. I didn’t expect this kind of performance. Earlier, I used the 4th Gen Alexa, and that was far better. I’m not sure whether this is the default sound quality or if I received a defective product, but I’m completely disappointed."
Yash Kumar,1.0 out of 5 stars,"The Alexa Echo Dot speaker is an absolutely useless piece of technology, the listening skills are pathetic, maximum times the device just says I CAN'T HELP YOU WITH THAT, it is unable to create even proper reminder requests, you can't call anyone by saying a voice command like in Google app, I don't even understand why it's called 5th Gen, should be called 3rd class, resetting to connect device to new Wifi connection is a pain, the device has to be reset atleast 3-4 times so that the orange light may show up, the device plays the same news for 24 hours even while stating that it is playing live news, 80% of times it doesn't even understand what a person is saying neither in english nor in hindi; when asking for product supports the Alexa team supervisors are just arrogant and egoistic self-righteous piece of work who don't even listen to your problem and just say use it for 3-4 months and then it'll adapt as if they will return the producy after 4 months if it doesn't work properly. The Google Gemini in the phone, that is absolutely free, works wonders and this 4k costing piece of junk is working like absolute nightmare. The product is direct supply of Amazon and still they don't return it. They sent me a replacement but they are unable to accept that the device doesn't work propely because of the way it is built. A very special thanks to the arrogant supervisor Mr..Soham who didn't even listen to a word I said and kept stating his own set of lines repeatedly like he is CEO of Amazon and Alexa. NO RETURN, USELESS BOX, PATHETIC EXPERIENCE, HELLISH SUPPORT TEAM, NEVER EVEN SCROLLING THROUGH ALEXA PAGE IN MY LIFE AGAIN.",BlueConfiguration: Echo Dot Only,12 October 2025,"NO RETURN, PATHETIC EXPERIENCE, HELLISH SUPPORT TEAM.",en,"The Alexa Echo Dot speaker is an absolutely useless piece of technology, the listening skills are pathetic, maximum times the device just says I CAN'T HELP YOU WITH THAT, it is unable to create even proper reminder requests, you can't call anyone by saying a voice command like in Google app, I don't even understand why it's called 5th Gen, should be called 3rd class, resetting to connect device to new Wifi connection is a pain, the device has to be reset atleast 3-4 times so that the orange light may show up, the device plays the same news for 24 hours even while stating that it is playing live news, 80% of times it doesn't even understand what a person is saying neither in english nor in hindi; when asking for product supports the Alexa team supervisors are just arrogant and egoistic self-righteous piece of work who don't even listen to your problem and just say use it for 3-4 months and then it'll adapt as if they will return the producy after 4 months if it doesn't work properly. The Google Gemini in the phone, that is absolutely free, works wonders and this 4k costing piece of junk is working like absolute nightmare. The product is direct supply of Amazon and still they don't return it. They sent me a replacement but they are unable to accept that the device doesn't work propely because of the way it is built. A very special thanks to the arrogant supervisor Mr..Soham who didn't even listen to a word I said and kept stating his own set of lines repeatedly like he is CEO of Amazon and Alexa. NO RETURN, USELESS BOX, PATHETIC EXPERIENCE, HELLISH SUPPORT TEAM, NEVER EVEN SCROLLING THROUGH ALEXA PAGE IN MY LIFE AGAIN."
Vishal Patil,3.0 out of 5 stars,No complaint about echo dot but i felt like someone used it and returned it and Amazon sold it to me,BlueConfiguration: Echo Dot Only,22 July 2025,Look liked used one,en,No complaint about echo dot but i felt like someone used it and returned it and Amazon sold it to me
pardeep,5.0 out of 5 stars,"I use my Echo Dot every single day. From setting timers while cooking to playing my favorite music with just my voice, it makes life so much easier. The sound quality is surprisingly rich for such a small device, and Alexa understands my commands most of the time without me repeating. Definitely worth it for anyone who wants a smart assistant in the house.",WhiteConfiguration: Echo Dot Only,15 August 2025,My daily assistant,en,"I use my Echo Dot every single day. From setting timers while cooking to playing my favorite music with just my voice, it makes life so much easier. The sound quality is surprisingly rich for such a small device, and Alexa understands my commands most of the time without me repeating. Definitely worth it for anyone who wants a smart assistant in the house."
nikunj karia,5.0 out of 5 stars,"If you configure it well and integrate with your home lighting and fans, it's very useful. It's not just limited to listening songs etc. kids are happy interacting with Alexa",BlackConfiguration: Echo Dot Only,4 September 2025,"Alexa is not a gadget, it's a useful tool",en,"If you configure it well and integrate with your home lighting and fans, it's very useful. It's not just limited to listening songs etc. kids are happy interacting with Alexa"
Kevil Pansuriya,5.0 out of 5 stars,Very nice sound effect. Response time quite. Voice assistant features are perfectly working.,BlueConfiguration: Echo Dot Only,18 September 2025,Very nice product.,en,Very nice sound effect. Response time quite. Voice assistant features are perfectly working.
wellwisher,4.0 out of 5 stars,"Alexa was easy to setup and co-operative so far. Yes they are learning and we all fine with it, I believeThey could not earn my 5 stars since volume is not loud enough, so definitely not replacement of any music systemIt's good as long as it goes for chitchat and fun",BlackConfiguration: Echo Dot Only,14 April 2025,Chitchat fun but not boombox,en,"Alexa was easy to setup and co-operative so far. Yes they are learning and we all fine with it, I believeThey could not earn my 5 stars since volume is not loud enough, so definitely not replacement of any music systemIt's good as long as it goes for chitchat and fun"
K Shetty,3.0 out of 5 stars,It is just a smart Speaker to play audio from Amazon Music and does basic stuffs. It does not have AI capabilities or any other useful feature.It is nothing compared to Perplexity AI (Pro) which I use on my Iphone.,BlueConfiguration: Echo Dot Only,14 July 2025,Just Basic Handsfree Speaker to play music only from Amazon Music,en,It is just a smart Speaker to play audio from Amazon Music and does basic stuffs. It does not have AI capabilities or any other useful feature.It is nothing compared to Perplexity AI (Pro) which I use on my Iphone.
Rk saini,4.0 out of 5 stars,Best quality,BlackConfiguration: Echo Dot Only,14 June 2025,Best quality,fr,Best quality
MUKESH GONDALIYA,5.0 out of 5 stars,Good 👍,BlackConfiguration: Echo Dot Only,14 September 2025,Good 👍,so,Good 👍
